Location,Facility Type,Ped_Total,Ped_Female,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday,Bike_Weekday_Female,Bike_Weekday_Sidewalk,Bike_Weekday_Contraflow,Bike_Weekday_Bikeshare,Bike_Weekday_Helmet,Bike_Weekend,Bike_Weekend_Female,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bikeshare,Bike_Weekend_Helmet,Other_Total,Other_Total 1,Other_Female,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Sidewalk,Other_Weekday_WrongWay,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet
1st bw Mission and Anderson,Sharrow,238,85,6,1,179,69,1,1,59,16,5,0,80,2,30,0,2,2,68,2,30,0,2,2,12,0,5,0,1,2,10,10,0,9,0,0,5,0,4,0,0,5,0,5,0,0,10,2,2,0,1,9,1,1,0,1,1,1,1,0,0
1st bw San Pedro and Central,Sharrow,3787,1591,29,25,2439,942,21,14,1348,649,8,11,185,15,50,14,11,36,159,13,50,14,11,36,26,2,5,1,0,7,22,22,1,22,3,0,20,1,20,3,0,2,0,2,0,0,52,5,25,3,1,40,4,21,2,1,12,1,4,1,0
1st bw Soto and Mathews,Lane,880,382,6,22,706,308,3,20,174,74,3,2,74,2,25,3,0,5,69,1,25,3,0,5,5,1,2,1,0,1,22,22,2,16,3,1,15,0,11,0,0,7,2,5,3,1,11,4,6,0,1,11,4,6,0,1,0,0,0,0,0
4th bw Rossmore and Arden,Sharrow,237,116,2,5,164,83,2,1,73,33,0,4,142,27,2,0,0,56,82,11,2,0,0,56,60,16,1,0,0,32,14,14,3,2,0,4,7,0,0,0,0,7,3,2,0,4,10,2,0,0,3,3,0,0,0,2,7,2,0,0,1
7th bw Hill and Olive,Lane,3898,1461,24,19,2062,677,14,12,1836,784,10,7,383,48,31,2,12,96,284,39,31,2,12,96,99,9,7,3,2,10,35,35,3,21,0,4,24,1,20,0,2,11,2,1,0,2,155,28,31,2,13,89,13,20,1,10,66,15,11,1,3
Adams bw Victoria and Crenshaw,None,484,177,2,6,263,82,2,1,221,95,0,5,55,2,24,,0,9,40,2,24,,0,9,15,0,8,2,0,1,3,3,0,2,0,0,1,0,0,0,0,2,0,2,0,0,11,0,10,0,1,11,0,10,,1,0,0,0,0,0
Alameda bw Temple and 1st,None,2432,1064,3,16,1906,817,2,12,526,247,1,4,202,12,99,7,2,13,154,8,99,7,2,13,48,4,22,10,1,5,48,48,0,38,1,0,39,0,31,1,0,9,0,7,0,0,83,10,54,1,0,59,6,38,1,0,24,4,16,0,0
Avalon bw 50th and 51st,None,911,234,8,24,740,179,4,22,171,55,4,2,234,9,130,,0,79,184,8,130,,0,79,50,1,36,16,0,0,29,29,5,21,2,0,24,4,16,0,0,5,1,5,2,0,6,0,3,0,2,6,0,3,0,2,0,0,0,0,0
Avenue 50 bw York and Lincoln,Route,761,347,0,17,459,193,0,8,302,154,0,9,28,4,3,0,0,7,17,1,3,0,0,7,11,3,4,0,0,8,6,6,0,2,0,1,4,0,1,0,1,2,0,1,0,0,4,2,0,0,0,2,0,0,0,0,2,2,0,0,0
Ballona Creek Bike Path e/o Fiji Way,Path,364,174,0,8,,,,,364,174,0,8,2360,532,,,,,,,,,,,2360,532,0,0,0,1267,5,5,1,0,0,4,,,,,,5,1,0,0,4,49,12,0,0,5,,,,,,49,12,0,0,5
